"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U2","LC-SOT-89(SOT-89-3)","1990mil","1420.787mil","1990mil","1470mil","2049.055mil","1470mil","T","90.00","HT7550-1"
"U3","LC-SOIC-8_150mil","1130mil","1035mil","1130mil","1035mil","1205mil","1137.362mil","T","180.00","TJA1042T"
"U4","LC-SOIC-8_150mil","2110mil","3005mil","2110mil","3005mil","2035mil","2902.638mil","T","360.00","LM2904DR"
"U5","LC-SOT-363","2425mil","635mil","2425mil","635mil","2450.59mil","673.386mil","T","90.00","PUMD3"
"U6","LC-SOT-363","970mil","2980mil","970mil","2980mil","944.41mil","2941.614mil","T","270.00","PUMD3"
"U7","LC-SOT-363","690mil","2819.999mil","690mil","2820mil","664.41mil","2781.613mil","T","270.00","PUMD3"
"P3","HDR1X5","1580mil","1720mil","1580mil","1520mil","1580mil","1520mil","T","90.00","ICE"
"L1","LC-0603_L","1160.001mil","2095mil","1160mil","2095mil","1129.686mil","2095mil","T","0.00","BLM18PG181SN1D"
"R58","LC-0603_R","1750mil","1635.001mil","1750mil","1635mil","1750mil","1604.686mil","T","90.00","NC"
"MP1","MARK","300mil","270mil","300mil","270mil","300mil","270mil","T","0.00","MARK"
"MP2","MARK","300mil","3925mil","300mil","3925mil","300mil","3925mil","T","0.00","MARK"
"MP3","MARK","3730mil","3925mil","3730mil","3925mil","3730mil","3925mil","T","0.00","MARK"
"Y1","SMD_8M_3","965mil","1985mil","965mil","1985mil","917.756mil","1985mil","T","0.00","CSTCE12M0G15C99-R0"
"P4","HDR1X4","665mil","1345mil","665mil","1495mil","665mil","1495mil","T","270.00","DEBUG"

